"Abundance","Biomass","Family","Genus","Species","SampleDescription","Plot","Latitude","Longitude","DepthElevation","Day","Month","Year","StudyID"
1,"","Theridiidae","Pholcomma","gibbum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1986","",50.931,5.626,"","","","1986",""
1,"","Theridiidae","Pholcomma","gibbum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1987","",50.931,5.626,"","","","1987",""
1,"","Clubionidae","Clubiona","frutetorum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Clubionidae","Clubiona","germanica","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Gnaphosidae","Drassodes","cupreus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Gnaphosidae","Drassyllus","lutetianus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Gnaphosidae","Gnaphosa","nigerrima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Gnaphosidae","Zelotes","longipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Hahniidae","Antistea","elegans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Hahniidae","Hahnia","montana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Agyneta","decora","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Agyneta","rurestris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Agyneta","saxatilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Allomengea","scopigera","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Linyphiidae","Aphileta","misera","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Linyphiidae","Bathyphantes","approximatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
15,"","Linyphiidae","Bathyphantes","gracilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Bathyphantes","nigrinus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
30,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Dicymbium","nigrum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Diplocephalus","cristatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Diplostyla","concolor","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
7,"","Linyphiidae","Gongylidiellum","vivum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Linyphiidae","Gongylidium","rufipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Kaestneria","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
27,"","Linyphiidae","Lophomma","punctatum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Megalepthyphantes","nebulosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Linyphiidae","Meioneta","affinis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
22,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Microlinyphia","pusilla","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
124,"","Linyphiidae","Oedothorax","gibbosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
39,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
13,"","Linyphiidae","Palliduphantes","pallidus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
21,"","Linyphiidae","Pocadicnemis","pumila","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Linyphiidae","Porrhomma","oblitum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Saaristoa","abnormis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
13,"","Linyphiidae","Tallusia","experta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
7,"","Linyphiidae","Taranucnus","setosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Tenuiphantes","mengei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
